Continent,Country,Code,Year,Water,GDP,Population
Africa,Morocco,MAR,2020,95.67,6986.283691,36688768
Africa,Mozambique,MOZ,2020,73.35,1229.940308,31178242
Asia,Myanmar,MMR,2020,85.31,4857.389648,53423200
Africa,Namibia,NAM,2020,91.36,8814.591797,2489099
Oceania,Nauru,NRU,2020,100,13594.49219,12339
Asia,Nepal,NPL,2020,94.05,3800.065674,29348626
Europe,Netherlands,NLD,2020,100,54324.38281,17434562
Asia,New Caledonia,NCL,2020,99.31,,286412
Oceania,New Zealand,NZL,2020,100,42774.69141,5061130
North America,Nicaragua,NIC,2020,83.22,5280.099609,6755900
Africa,Niger,NER,2020,68.57,1221.269897,24333644
Africa,Nigeria,NGA,2020,82.59,4916.721191,208327408
Oceania,Niue,NIU,2020,97.01,,1963
Asia,North America,,2020,,58496.77734,594263186
North America,North America and Europe,,2020,99.53,,
Oceania,North Korea,PRK,2020,94.53,,25867474
Europe,North Macedonia,MKD,2020,99.38,15931.3623,2111078
Europe,Northern America (UN),,2020,,,373956672
South America,Northern Mariana Islands,MNP,2020,100,,49611
Europe,Norway,NOR,2020,100,63548,5379836
Oceania,Oceania,,2020,59.47,,43933757
Europe,Oceania (UN),,2020,,,43933424
Asia,Oman,OMN,2020,99.71,29502.06055,4543406
Asia,Pakistan,PAK,2020,93.97,4562.622559,227196736
Asia,Palau,PLW,2020,99.66,15473.25195,17999
Asia,Palestine,PSE,2020,98.91,5394.071777,5019407
North America,Panama,PAN,2020,96.25,25389.8125,4294391
Oceania,Papua New Guinea,PNG,2020,47.47,4063.732178,9749641
South America,Paraguay,PRY,2020,100,12389.58691,6618700
South America,Peru,PER,2020,93.99,11260.8457,33304768
Asia,Philippines,PHL,2020,96.97,7953.581543,112190984
Europe,Poland,POL,2020,99.97,32398.70508,38428368
Europe,Portugal,PRT,2020,99.91,31961.77539,10298186
North America,Puerto Rico,PRI,2020,100,32551.06836,3271570
Asia,Qatar,QAT,2020,99.57,85290.45313,2760390
North America,Reunion,REU,2020,100,,957829
Europe,Romania,ROU,2020,100,28870.92969,19442040
Europe,Russia,RUS,2020,97.61,26456.38867,145617328
Africa,Rwanda,RWA,2020,82.74,2098.710449,13146367
Africa,Saint Barthelemy,,2020,100,,
Asia,Saint Barthlemy,,2020,,,10706
Europe,Saint Helena,SHN,2020,99.1,,5448
Africa,Saint Kitts and Nevis,KNA,2020,,24319.36328,47666
North America,Saint Lucia,LCA,2020,98.7,12048.92773,179245
Europe,Saint Martin (French part),MAF,2020,100,,32577
Europe,Saint Pierre and Miquelon,SPM,2020,91.4,,5930
Africa,Saint Vincent and the Grenadines,VCT,2020,,12044.36523,104644
Oceania,Samoa,WSM,2020,98.36,6416.77832,214934
Asia,San Marino,SMR,2020,100,,34038
Africa,Sao Tome and Principe,STP,2020,98.46,4051.604736,218650
Asia,Saudi Arabia,SAU,2020,100,44328.18359,35997108
Africa,Senegal,SEN,2020,87.29,3320.675537,16436120
Europe,Serbia,SRB,2020,99.54,18255.05469,7358010
Africa,Seychelles,SYC,2020,,24427.71289,105545
Africa,Sierra Leone,SLE,2020,72.79,1637.296631,8233973
Asia,Singapore,SGP,2020,100,93397.04688,5909874
South America,Sint Maarten (Dutch part),SXM,2020,,,43638
Europe,Slovakia,SVK,2020,100,30509.76953,5456681
Europe,Slovenia,SVN,2020,99.5,37050.54688,2117648
Africa,Small Island Developing States,,2020,86.5,,
Oceania,Solomon Islands,SLB,2020,73.1,2482.871826,691198
Africa,Somalia,SOM,2020,84.18,1180.965942,16537018
Africa,South Africa,ZAF,2020,96.66,12665.83203,58801928
South America,South America,,2020,,,431530105
Europe,South Asia,,2020,,5814.122559,
Asia,South Korea,KOR,2020,99.93,42335.86719,51844688
Europe,South Sudan,SSD,2020,78.38,,10606224
Europe,Spain,ESP,2020,99.93,36210.875,47363808
Asia,Sri Lanka,LKA,2020,92.82,12536.94141,21715076
Asia,Sub-Saharan Africa,,2020,77.53,3718.469482,
Africa,Sudan,SDN,2020,87.12,3927.043945,44440484
South America,Suriname,SUR,2020,99.06,15864.55078,607068
Europe,Sweden,SWE,2020,99.83,50923.10938,10368968
Europe,Switzerland,CHE,2020,100,68755.4375,8638609
Oceania,Syria,SYR,2020,99.8,,20772602
Oceania,Taiwan,TWN,2020,,,23821468
Asia,Tajikistan,TJK,2020,84.42,3657.573486,9543211
Africa,Tanzania,TZA,2020,72.01,2635.356689,61704520
Asia,Thailand,THA,2020,100,17284.70117,71475664
Asia,Timor,TLS,2020,87.38,3925.948242,1299998
Africa,Togo,TGO,2020,74.65,2107.877686,8442583
North America,Tokelau,TKL,2020,99.71,,1845
Oceania,Tonga,TON,2020,99.61,6346.999512,105265
North America,Trinidad and Tobago,TTO,2020,100,23722.47852,1518142
Africa,Tunisia,TUN,2020,99.17,10260.06543,12161720
Europe,Turkey,TUR,2020,99.04,28393.4668,84135432
Africa,Turkmenistan,TKM,2020,100,,6250442
Europe,Turks and Caicos Islands,TCA,2020,,21126.94922,44297
Oceania,Tuvalu,TUV,2020,100,4411.00293,11090
Africa,Uganda,UGA,2020,83.14,2175.031006,44404608
Europe,Ukraine,UKR,2020,99.6,12375.92188,43909664
Asia,United Arab Emirates,ARE,2020,99.97,63299.42188,9287286
North America,United Kingdom,GBR,2020,100,42675.78125,67059472
North America,United States,USA,2020,99.88,59919.82031,335942016
Europe,United States Virgin Islands,VIR,2020,98.72,,100452
South America,Uruguay,URY,2020,100,21608.42969,3429087
Asia,Uzbekistan,UZB,2020,97.83,7331.859863,33526662
Oceania,Vanuatu,VUT,2020,92.29,2854.29248,311694
Europe,Vatican,VAT,2020,,,809
Africa,Venezuela,VEN,2020,94.16,,28490458
Asia,Vietnam,VNM,2020,96.88,8200.332031,96648680
Asia,Wallis and Futuna,WLF,2020,,,11679
Asia,Wallis and Futuna Islands,,2020,99.14,,
Asia,Western Asia and Northern Africa,,2020,97.57,,
Europe,Western Sahara,ESH,2020,,,556060
World,World,OWID_WRL,2020,93.72,16185.16504,7840952832
Africa,Yemen,YEM,2020,89.63,,32284044
Africa,Zambia,ZMB,2020,71.57,3277.816406,18927716
Africa,Zimbabwe,ZWE,2020,76.86,3353.411377,15669663
