Continent,Country,Code,Year,Water,GDP,Population,gdp_log
Asia,Qatar,QAT,2020,99.57,85290.45313,2760390,4.930900422
Europe,Romania,ROU,2020,100,28870.92969,19442040,4.460460769
Europe,Russia,RUS,2020,97.61,26456.38867,145617328,4.422530562
Africa,Rwanda,RWA,2020,82.74,2098.710449,13146367,3.321952525
North America,Saint Lucia,LCA,2020,98.7,12048.92773,179245,4.080948399
Oceania,Samoa,WSM,2020,98.36,6416.77832,214934,3.807317036
Africa,Sao Tome and Principe,STP,2020,98.46,4051.604736,218650,3.60762707
Asia,Saudi Arabia,SAU,2020,100,44328.18359,35997108,4.646679936
Africa,Senegal,SEN,2020,87.29,3320.675537,16436120,3.521226443
Europe,Serbia,SRB,2020,99.54,18255.05469,7358010,4.261383138
Africa,Sierra Leone,SLE,2020,72.79,1637.296631,8233973,3.214127368
Asia,Singapore,SGP,2020,100,93397.04688,5909874,4.970333144
Europe,Slovakia,SVK,2020,100,30509.76953,5456681,4.484438927
Europe,Slovenia,SVN,2020,99.5,37050.54688,2117648,4.568794623
Oceania,Solomon Islands,SLB,2020,73.1,2482.871826,691198,3.3949543
Africa,Somalia,SOM,2020,84.18,1180.965942,16537018,3.072237373
Africa,South Africa,ZAF,2020,96.66,12665.83203,58801928,4.102633724
Asia,South Korea,KOR,2020,99.93,42335.86719,51844688,4.62670846
Europe,Spain,ESP,2020,99.93,36210.875,47363808,4.558839019
Asia,Sri Lanka,LKA,2020,92.82,12536.94141,21715076,4.098191596
Africa,Sudan,SDN,2020,87.12,3927.043945,44440484,3.594065761
South America,Suriname,SUR,2020,99.06,15864.55078,607068,4.200427779
Europe,Sweden,SWE,2020,99.83,50923.10938,10368968,4.706914914
Europe,Switzerland,CHE,2020,100,68755.4375,8638609,4.83730705
Asia,Tajikistan,TJK,2020,84.42,3657.573486,9543211,3.56319306
Africa,Tanzania,TZA,2020,72.01,2635.356689,61704520,3.420839404
Asia,Thailand,THA,2020,100,17284.70117,71475664,4.237661876
Asia,Timor,TLS,2020,87.38,3925.948242,1299998,3.59394457
Africa,Togo,TGO,2020,74.65,2107.877686,8442583,3.323845406
Oceania,Tonga,TON,2020,99.61,6346.999512,105265,3.802568465
North America,Trinidad and Tobago,TTO,2020,100,23722.47852,1518142,4.375160062
Africa,Tunisia,TUN,2020,99.17,10260.06543,12161720,4.01115013
Europe,Turkey,TUR,2020,99.04,28393.4668,84135432,4.453218422
Oceania,Tuvalu,TUV,2020,100,4411.00293,11090,3.644537346
Africa,Uganda,UGA,2020,83.14,2175.031006,44404608,3.337465452
Europe,Ukraine,UKR,2020,99.6,12375.92188,43909664,4.092577559
Asia,United Arab Emirates,ARE,2020,99.97,63299.42188,9287286,4.801399744
North America,United Kingdom,GBR,2020,100,42675.78125,67059472,4.63018148
North America,United States,USA,2020,99.88,59919.82031,335942016,4.777570502
South America,Uruguay,URY,2020,100,21608.42969,3429087,4.334623207
Asia,Uzbekistan,UZB,2020,97.83,7331.859863,33526662,3.865214156
Oceania,Vanuatu,VUT,2020,92.29,2854.29248,311694,3.455498473
Asia,Vietnam,VNM,2020,96.88,8200.332031,96648680,3.913831437
Africa,Zambia,ZMB,2020,71.57,3277.816406,18927716,3.515584625
Africa,Zimbabwe,ZWE,2020,76.86,3353.411377,15669663,3.525486833
